snapshot_date,product_id,store_id,stock_on_hand,reorder_point,lead_time_days
2025-12-08,PRD-0026,STR-013,110,11,3
2025-12-08,PRD-0026,STR-017,5,30,12
2025-12-08,PRD-0027,STR-003,160,28,4
2025-12-08,PRD-0027,STR-006,72,14,4
2025-12-08,PRD-0027,STR-009,57,17,8
2025-12-08,PRD-0027,STR-012,123,33,6
2025-12-08,PRD-0027,STR-013,157,47,5
2025-12-08,PRD-0027,STR-018,28,47,11
2025-12-08,PRD-0028,STR-003,78,36,11
2025-12-08,PRD-0028,STR-004,94,23,8
2025-12-08,PRD-0028,STR-005,194,34,13
2025-12-08,PRD-0028,STR-007,107,20,4
2025-12-08,PRD-0028,STR-010,28,30,4
2025-12-08,PRD-0028,STR-011,27,21,7
2025-12-08,PRD-0028,STR-012,200,33,6
2025-12-08,PRD-0028,STR-018,7,27,10
2025-12-08,PRD-0029,STR-001,91,50,5
2025-12-08,PRD-0029,STR-003,62,41,8
2025-12-08,PRD-0029,STR-005,155,27,12
2025-12-08,PRD-0029,STR-017,37,24,11
2025-12-08,PRD-0029,STR-018,177,39,12
2025-12-08,PRD-0030,STR-002,11,12,5
2025-12-08,PRD-0030,STR-007,127,42,10
2025-12-08,PRD-0030,STR-012,64,16,2
2025-12-08,PRD-0030,STR-018,149,11,6
2025-12-08,PRD-0031,STR-001,47,39,12
2025-12-08,PRD-0031,STR-005,54,35,9
2025-12-08,PRD-0031,STR-009,93,44,4
2025-12-08,PRD-0031,STR-013,193,31,13
2025-12-08,PRD-0031,STR-015,18,22,8
2025-12-08,PRD-0031,STR-016,182,27,3
2025-12-08,PRD-0031,STR-017,145,26,6
2025-12-08,PRD-0032,STR-007,76,17,3
2025-12-08,PRD-0032,STR-010,127,16,3
2025-12-08,PRD-0032,STR-011,75,33,3
2025-12-08,PRD-0032,STR-016,0,14,14
2025-12-08,PRD-0033,STR-001,23,22,5
2025-12-08,PRD-0033,STR-002,28,21,11
2025-12-08,PRD-0033,STR-005,44,37,5
2025-12-08,PRD-0033,STR-008,161,39,14
2025-12-08,PRD-0033,STR-009,144,25,10
2025-12-08,PRD-0033,STR-010,117,23,10
2025-12-08,PRD-0033,STR-016,36,26,4
2025-12-08,PRD-0033,STR-018,198,33,11
2025-12-08,PRD-0034,STR-003,107,31,4
2025-12-08,PRD-0034,STR-007,37,13,13
2025-12-08,PRD-0034,STR-009,96,34,11
2025-12-08,PRD-0034,STR-011,27,48,11
2025-12-08,PRD-0034,STR-014,13,30,10
2025-12-08,PRD-0034,STR-017,97,43,5
2025-12-08,PRD-0034,STR-018,129,28,11
2025-12-08,PRD-0035,STR-004,163,19,4
2025-12-08,PRD-0035,STR-006,47,35,12
2025-12-08,PRD-0035,STR-011,169,35,14
2025-12-08,PRD-0035,STR-016,173,19,10
2025-12-08,PRD-0036,STR-001,181,24,11
2025-12-08,PRD-0036,STR-004,137,28,7
2025-12-08,PRD-0036,STR-006,67,35,10
2025-12-08,PRD-0036,STR-014,110,36,7
2025-12-08,PRD-0036,STR-015,6,22,2
2025-12-08,PRD-0037,STR-003,162,27,9
2025-12-08,PRD-0037,STR-004,155,33,3
2025-12-08,PRD-0037,STR-005,131,43,9
2025-12-08,PRD-0037,STR-008,30,17,10
2025-12-08,PRD-0037,STR-009,182,24,10
2025-12-08,PRD-0037,STR-011,11,34,10
2025-12-08,PRD-0037,STR-013,182,44,3
2025-12-08,PRD-0037,STR-015,165,19,6
2025-12-08,PRD-0038,STR-002,62,48,13
2025-12-08,PRD-0038,STR-004,107,14,14
2025-12-08,PRD-0038,STR-006,53,50,10
2025-12-08,PRD-0038,STR-009,139,35,13
2025-12-08,PRD-0038,STR-010,113,31,11
2025-12-08,PRD-0038,STR-012,190,35,14
2025-12-08,PRD-0038,STR-017,158,28,2
2025-12-08,PRD-0039,STR-001,200,15,4
2025-12-08,PRD-0039,STR-003,91,22,14
2025-12-08,PRD-0039,STR-006,145,20,14
2025-12-08,PRD-0039,STR-007,21,28,7
2025-12-08,PRD-0039,STR-009,153,13,14
2025-12-08,PRD-0039,STR-010,115,44,4
2025-12-08,PRD-0039,STR-014,99,41,11
2025-12-08,PRD-0039,STR-015,85,33,10
2025-12-08,PRD-0040,STR-003,50,36,7
2025-12-08,PRD-0040,STR-011,188,11,9
2025-12-08,PRD-0041,STR-001,131,38,7
2025-12-08,PRD-0041,STR-003,47,40,4
2025-12-08,PRD-0041,STR-008,143,25,3
2025-12-08,PRD-0041,STR-009,113,19,2
2025-12-08,PRD-0041,STR-011,132,22,13
2025-12-08,PRD-0041,STR-012,75,16,4
2025-12-08,PRD-0041,STR-013,88,23,4
2025-12-08,PRD-0042,STR-002,35,10,12
2025-12-08,PRD-0042,STR-007,194,26,13
2025-12-08,PRD-0042,STR-013,18,29,6
2025-12-08,PRD-0042,STR-016,190,38,14
2025-12-08,PRD-0042,STR-017,71,39,3
2025-12-08,PRD-0043,STR-004,147,17,6
2025-12-08,PRD-0043,STR-008,182,12,5
2025-12-08,PRD-0043,STR-015,176,29,3
2025-12-08,PRD-0043,STR-018,165,37,3
2025-12-08,PRD-0044,STR-005,90,18,2
2025-12-08,PRD-0044,STR-008,158,36,7
2025-12-08,PRD-0044,STR-010,138,38,6
2025-12-08,PRD-0044,STR-011,17,36,7
2025-12-08,PRD-0044,STR-012,34,50,10
2025-12-08,PRD-0044,STR-013,162,47,8
2025-12-08,PRD-0044,STR-015,15,20,9
2025-12-08,PRD-0044,STR-016,137,36,5
2025-12-08,PRD-0044,STR-018,67,46,3
2025-12-08,PRD-0045,STR-001,95,31,3
2025-12-08,PRD-0045,STR-008,9999,30,9
2025-12-08,PRD-0045,STR-011,138,20,2
2025-12-08,PRD-0045,STR-014,152,30,3
2025-12-08,PRD-0045,STR-018,113,32,2
2025-12-08,PRD-0046,STR-003,21,27,5
2025-12-08,PRD-0046,STR-004,85,29,4
2025-12-08,PRD-0046,STR-010,174,27,11
2025-12-08,PRD-0046,STR-011,39,31,13
2025-12-08,PRD-0047,STR-004,156,19,11
2025-12-08,PRD-0047,STR-006,10,25,10
2025-12-08,PRD-0047,STR-007,131,11,12
2025-12-08,PRD-0047,STR-013,139,19,9
2025-12-08,PRD-0047,STR-016,157,18,12
2025-12-08,PRD-0048,STR-001,185,21,7
2025-12-08,PRD-0048,STR-004,88,16,2
2025-12-08,PRD-0048,STR-006,167,28,3
2025-12-08,PRD-0048,STR-009,80,35,2
2025-12-08,PRD-0048,STR-010,140,50,5
2025-12-08,PRD-0048,STR-016,8,12,5
2025-12-08,PRD-0048,STR-017,95,30,2
2025-12-08,PRD-0048,STR-018,41,45,13
2025-12-08,PRD-0049,STR-003,73,39,2
2025-12-08,PRD-0049,STR-005,190,30,10
2025-12-08,PRD-0049,STR-010,9,13,10
2025-12-08,PRD-0049,STR-018,21,33,2
2025-12-08,PRD-0050,STR-001,9999,49,3
2025-12-08,PRD-0050,STR-002,145,36,4
2025-12-08,PRD-0050,STR-005,158,41,14
2025-12-08,PRD-0050,STR-009,126,18,11
2025-12-08,PRD-0050,STR-010,101,19,12
2025-12-08,PRD-0050,STR-014,1,31,9
2025-12-08,PRD-0051,STR-001,38,33,12
2025-12-08,PRD-0051,STR-006,103,20,8
2025-12-08,PRD-0051,STR-007,186,13,11
2025-12-08,PRD-0051,STR-015,188,29,13
2025-12-08,PRD-0051,STR-018,96,30,3
2025-12-08,PRD-0052,STR-001,64,39,7
2025-12-08,PRD-0052,STR-010,3,43,7
2025-12-08,PRD-0052,STR-012,173,12,11
2025-12-08,PRD-0052,STR-013,91,16,7
2025-12-08,PRD-0052,STR-015,188,39,12
2025-12-08,PRD-0052,STR-017,4,27,3
2025-12-08,PRD-0053,STR-004,44,49,13
2025-12-08,PRD-0053,STR-005,61,30,11
2025-12-08,PRD-0053,STR-006,194,39,12
2025-12-08,PRD-0053,STR-011,57,17,10
2025-12-08,PRD-0053,STR-016,68,48,11
2025-12-08,PRD-0054,STR-001,35,19,9
2025-12-08,PRD-0054,STR-002,189,43,3
2025-12-08,PRD-0054,STR-008,170,27,10
2025-12-08,PRD-0054,STR-009,57,27,8
2025-12-08,PRD-0054,STR-010,75,10,3
2025-12-08,PRD-0054,STR-014,33,43,10
2025-12-08,PRD-0054,STR-018,192,28,8
2025-12-08,PRD-0055,STR-005,69,50,14
2025-12-08,PRD-0055,STR-010,0,42,12
2025-12-08,PRD-0055,STR-012,132,32,7
2025-12-08,PRD-0056,STR-002,146,41,11
2025-12-08,PRD-0056,STR-005,158,24,12
2025-12-08,PRD-0056,STR-009,83,46,7
2025-12-08,PRD-0056,STR-016,54,38,9
2025-12-08,PRD-0056,STR-017,169,12,8
2025-12-08,PRD-0056,STR-018,142,39,11
2025-12-08,PRD-0057,STR-004,127,22,4
2025-12-08,PRD-0057,STR-016,91,13,14
2025-12-08,PRD-0058,STR-001,173,27,11
2025-12-08,PRD-0058,STR-005,154,16,8
2025-12-08,PRD-0058,STR-008,141,25,6
2025-12-08,PRD-0058,STR-013,59,36,13
2025-12-08,PRD-0058,STR-015,84,17,14
2025-12-08,PRD-0058,STR-016,196,28,7
2025-12-08,PRD-0059,STR-004,0,18,7
2025-12-08,PRD-0059,STR-005,45,49,8
2025-12-08,PRD-0059,STR-007,42,29,8
2025-12-08,PRD-0060,STR-002,22,22,9
2025-12-08,PRD-0060,STR-003,59,49,7
2025-12-08,PRD-0060,STR-006,124,16,7
2025-12-08,PRD-0060,STR-011,132,14,8
2025-12-08,PRD-0060,STR-012,64,36,2
2025-12-08,PRD-0060,STR-014,154,38,10
2025-12-08,PRD-0060,STR-016,63,28,11
2025-12-08,PRD-0060,STR-017,83,15,12
2025-12-08,PRD-0061,STR-004,43,39,3
2025-12-08,PRD-0061,STR-010,146,22,2
2025-12-08,PRD-0061,STR-014,4,17,6
2025-12-08,PRD-0062,STR-001,26,23,11
2025-12-08,PRD-0062,STR-011,120,16,10
2025-12-08,PRD-0062,STR-013,0,35,9
2025-12-08,PRD-0062,STR-014,190,45,12
2025-12-08,PRD-0062,STR-015,122,11,6
2025-12-08,PRD-0062,STR-016,198,41,14
2025-12-08,PRD-0063,STR-004,142,50,12
2025-12-08,PRD-0063,STR-006,44,20,7
2025-12-08,PRD-0063,STR-009,102,39,11
2025-12-08,PRD-0063,STR-010,152,24,6
2025-12-08,PRD-0063,STR-017,70,11,14
2025-12-08,PRD-0064,STR-001,198,47,10
2025-12-08,PRD-0064,STR-002,110,16,8
2025-12-08,PRD-0064,STR-005,188,19,13
2025-12-08,PRD-0064,STR-011,165,29,9
2025-12-08,PRD-0064,STR-015,43,23,8
2025-12-08,PRD-0065,STR-003,25,47,3
2025-12-08,PRD-0065,STR-011,97,28,2
2025-12-08,PRD-0065,STR-013,158,34,11
2025-12-08,PRD-0065,STR-015,19,24,14
2025-12-08,PRD-0066,STR-007,75,22,10
2025-12-08,PRD-0066,STR-011,71,38,11
2025-12-08,PRD-0066,STR-014,9999,38,8
2025-12-08,PRD-0067,STR-001,4,26,14
2025-12-08,PRD-0067,STR-003,181,24,14
2025-12-08,PRD-0067,STR-005,152,39,11
2025-12-08,PRD-0067,STR-006,73,45,6
2025-12-08,PRD-0067,STR-012,83,25,5
2025-12-08,PRD-0067,STR-016,129,43,5
2025-12-08,PRD-0068,STR-005,183,23,7
2025-12-08,PRD-0068,STR-007,111,23,14
2025-12-08,PRD-0068,STR-009,125,17,14
2025-12-08,PRD-0068,STR-010,53,20,14
2025-12-08,PRD-0068,STR-014,126,14,9
2025-12-08,PRD-0068,STR-016,131,25,14
2025-12-08,PRD-0068,STR-017,2,37,5
2025-12-08,PRD-0069,STR-003,44,17,7
2025-12-08,PRD-0069,STR-005,138,28,4
2025-12-08,PRD-0069,STR-015,58,45,7
2025-12-08,PRD-0070,STR-001,8,43,4
2025-12-08,PRD-0070,STR-004,32,23,10
2025-12-08,PRD-0070,STR-009,38,22,14
2025-12-08,PRD-0070,STR-011,86,46,6
2025-12-08,PRD-0070,STR-013,194,16,11
2025-12-08,PRD-0070,STR-014,144,36,10
2025-12-08,PRD-0070,STR-016,124,48,3
2025-12-08,PRD-0070,STR-018,159,20,5
2025-12-08,PRD-0071,STR-003,49,14,14
2025-12-08,PRD-0071,STR-004,107,38,2
2025-12-08,PRD-0071,STR-007,127,10,6
2025-12-08,PRD-0071,STR-009,5,26,3
2025-12-08,PRD-0071,STR-010,151,29,6
2025-12-08,PRD-0071,STR-012,106,19,4
2025-12-08,PRD-0071,STR-014,156,32,11
2025-12-08,PRD-0072,STR-001,53,11,8
2025-12-08,PRD-0072,STR-003,176,34,14
2025-12-08,PRD-0072,STR-010,38,34,2
2025-12-08,PRD-0072,STR-012,126,25,8
2025-12-08,PRD-0072,STR-013,150,40,9
2025-12-08,PRD-0072,STR-015,36,19,10
2025-12-08,PRD-0072,STR-018,164,31,8
2025-12-08,PRD-0073,STR-001,6,24,8
2025-12-08,PRD-0073,STR-005,108,21,14
2025-12-08,PRD-0073,STR-006,173,25,14
2025-12-08,PRD-0073,STR-012,60,28,9
2025-12-08,PRD-0073,STR-013,5,17,13
2025-12-08,PRD-0073,STR-016,117,26,6
2025-12-08,PRD-0073,STR-017,79,12,11
2025-12-08,PRD-0074,STR-005,39,16,14
2025-12-08,PRD-0074,STR-006,59,20,10
2025-12-08,PRD-0074,STR-011,78,22,4
2025-12-08,PRD-0074,STR-012,172,22,5
2025-12-08,PRD-0074,STR-013,136,49,8
2025-12-08,PRD-0074,STR-016,178,18,11
2025-12-08,PRD-0074,STR-017,96,47,14
2025-12-08,PRD-0075,STR-002,-34,45,5
2025-12-08,PRD-0075,STR-004,165,48,3
2025-12-08,PRD-0075,STR-008,27,17,5
2025-12-08,PRD-0075,STR-015,179,43,11
2025-12-08,PRD-0076,STR-001,28,48,12
2025-12-08,PRD-0076,STR-005,41,34,8
2025-12-08,PRD-0076,STR-007,9999,16,3
2025-12-08,PRD-0076,STR-017,42,28,13
2025-12-08,PRD-0076,STR-018,88,39,9
2025-12-08,PRD-0077,STR-001,87,40,12
2025-12-08,PRD-0077,STR-006,85,11,13
2025-12-08,PRD-0077,STR-007,82,49,13
2025-12-08,PRD-0077,STR-008,78,33,12
2025-12-08,PRD-0077,STR-010,10,22,10
2025-12-08,PRD-0077,STR-012,174,45,7
2025-12-08,PRD-0077,STR-013,163,34,9
2025-12-08,PRD-0077,STR-016,39,14,14
2025-12-08,PRD-0078,STR-002,130,47,6
2025-12-08,PRD-0078,STR-004,97,23,10
2025-12-08,PRD-0078,STR-010,161,44,5
2025-12-08,PRD-0078,STR-012,133,26,9
2025-12-08,PRD-0078,STR-013,151,36,2
2025-12-08,PRD-0078,STR-014,146,34,8
2025-12-08,PRD-0078,STR-015,31,45,5
2025-12-08,PRD-0079,STR-002,191,49,10
2025-12-08,PRD-0079,STR-003,164,38,3
2025-12-08,PRD-0079,STR-007,157,17,2
2025-12-08,PRD-0079,STR-012,196,18,7
2025-12-08,PRD-0079,STR-014,36,24,4
2025-12-08,PRD-0079,STR-018,41,13,14
2025-12-08,PRD-0080,STR-001,188,42,12
2025-12-08,PRD-0080,STR-003,135,17,3
2025-12-08,PRD-0081,STR-003,47,24,12
2025-12-08,PRD-0081,STR-005,151,50,13
2025-12-08,PRD-0081,STR-007,129,12,13
2025-12-08,PRD-0081,STR-011,59,23,10
2025-12-08,PRD-0082,STR-001,150,35,6
2025-12-08,PRD-0082,STR-002,116,40,3
2025-12-08,PRD-0082,STR-004,18,15,11
2025-12-08,PRD-0082,STR-006,16,33,12
2025-12-08,PRD-0082,STR-007,179,44,3
2025-12-08,PRD-0082,STR-008,169,30,3
2025-12-08,PRD-0082,STR-009,78,13,6
2025-12-08,PRD-0082,STR-012,171,47,5
2025-12-08,PRD-0082,STR-013,146,45,14
2025-12-08,PRD-0082,STR-014,141,28,7
2025-12-08,PRD-0082,STR-015,35,25,8
2025-12-08,PRD-0083,STR-004,165,15,11
2025-12-08,PRD-0083,STR-006,198,38,8
2025-12-08,PRD-0083,STR-011,107,15,10
2025-12-08,PRD-0083,STR-018,69,34,9
2025-12-08,PRD-0084,STR-001,200,36,9
2025-12-08,PRD-0084,STR-014,167,20,8
2025-12-08,PRD-0085,STR-004,12,15,2
2025-12-08,PRD-0085,STR-005,166,33,7
2025-12-08,PRD-0085,STR-016,52,40,13
2025-12-08,PRD-0085,STR-018,87,37,12
2025-12-08,PRD-0086,STR-002,88,11,2
2025-12-08,PRD-0086,STR-004,75,18,10
2025-12-08,PRD-0087,STR-002,79,15,13
2025-12-08,PRD-0087,STR-003,45,43,9
2025-12-08,PRD-0087,STR-005,100,28,3
2025-12-08,PRD-0087,STR-011,73,12,7
2025-12-08,PRD-0087,STR-013,118,21,2
2025-12-08,PRD-0087,STR-015,7,50,4
2025-12-08,PRD-0087,STR-016,149,40,12
2025-12-08,PRD-0088,STR-003,2,35,7
2025-12-08,PRD-0088,STR-004,68,14,13
2025-12-08,PRD-0088,STR-006,147,35,14
2025-12-08,PRD-0088,STR-008,138,40,8
2025-12-08,PRD-0088,STR-010,52,28,5
2025-12-08,PRD-0089,STR-004,184,14,9
2025-12-08,PRD-0089,STR-005,85,29,6
2025-12-08,PRD-0089,STR-015,97,28,13
2025-12-08,PRD-0089,STR-016,119,23,4
2025-12-08,PRD-0089,STR-017,42,38,4
2025-12-08,PRD-0090,STR-001,94,45,13
2025-12-08,PRD-0090,STR-006,46,34,5
2025-12-08,PRD-0090,STR-010,198,46,3
2025-12-08,PRD-0090,STR-013,156,28,10
2025-12-08,PRD-0090,STR-014,76,28,10
2025-12-08,PRD-0090,STR-015,14,16,4
2025-12-08,PRD-0090,STR-017,10,50,2
2025-12-08,PRD-0091,STR-002,15,14,8
2025-12-08,PRD-0091,STR-008,124,36,7
2025-12-08,PRD-0091,STR-010,141,12,10
2025-12-08,PRD-0091,STR-011,70,45,11
2025-12-08,PRD-0091,STR-015,74,46,6
2025-12-08,PRD-0091,STR-018,191,49,11
2025-12-08,PRD-0092,STR-003,59,35,9
2025-12-08,PRD-0092,STR-008,177,20,9
2025-12-08,PRD-0092,STR-011,90,42,10
2025-12-08,PRD-0092,STR-016,95,50,8
2025-12-08,PRD-0093,STR-003,162,34,14
2025-12-08,PRD-0093,STR-005,41,43,14
2025-12-08,PRD-0093,STR-008,147,25,6
2025-12-08,PRD-0093,STR-012,185,33,8
2025-12-08,PRD-0093,STR-013,121,46,6
2025-12-08,PRD-0093,STR-018,164,15,13
2025-12-08,PRD-0094,STR-002,9999,43,4
2025-12-08,PRD-0094,STR-003,31,43,2
2025-12-08,PRD-0094,STR-004,185,42,6
2025-12-08,PRD-0094,STR-012,193,23,11
2025-12-08,PRD-0094,STR-015,105,34,12
2025-12-08,PRD-0094,STR-017,165,50,13
2025-12-08,PRD-0095,STR-007,108,14,10
2025-12-08,PRD-0095,STR-009,19,31,12
2025-12-08,PRD-0096,STR-005,36,46,12
2025-12-08,PRD-0096,STR-007,92,31,4
2025-12-08,PRD-0097,STR-003,161,42,13
2025-12-08,PRD-0097,STR-004,138,35,8
2025-12-08,PRD-0097,STR-006,149,50,10
2025-12-08,PRD-0097,STR-007,135,37,9
2025-12-08,PRD-0097,STR-009,122,24,2
2025-12-08,PRD-0097,STR-015,194,50,2
2025-12-08,PRD-0098,STR-001,9,16,12
2025-12-08,PRD-0098,STR-002,83,11,6
2025-12-08,PRD-0098,STR-004,70,20,13
2025-12-08,PRD-0098,STR-007,14,25,6
2025-12-08,PRD-0098,STR-009,60,39,13
2025-12-08,PRD-0098,STR-010,27,30,7
2025-12-08,PRD-0098,STR-012,91,19,9
2025-12-08,PRD-0098,STR-015,97,49,4
2025-12-08,PRD-0098,STR-016,6,22,10
2025-12-08,PRD-0099,STR-001,149,26,7
2025-12-08,PRD-0099,STR-003,149,48,11
2025-12-08,PRD-0099,STR-004,99,10,13
2025-12-08,PRD-0099,STR-005,177,49,8
2025-12-08,PRD-0099,STR-011,165,35,11
2025-12-08,PRD-0099,STR-016,198,38,2
2025-12-08,PRD-0100,STR-002,196,32,12
2025-12-08,PRD-0100,STR-004,198,24,4
2025-12-08,PRD-0100,STR-005,60,11,5
2025-12-08,PRD-0100,STR-010,81,43,4
2025-12-08,PRD-0100,STR-015,129,18,4
2025-12-08,PRD-0101,STR-003,40,16,5
2025-12-08,PRD-0101,STR-006,78,15,7
2025-12-08,PRD-0101,STR-009,141,27,8
2025-12-08,PRD-0101,STR-016,12,44,12
2025-12-08,PRD-0102,STR-005,12,50,9
2025-12-08,PRD-0102,STR-006,28,42,8
2025-12-08,PRD-0102,STR-007,20,11,8
2025-12-08,PRD-0102,STR-008,83,46,2
