product_id,category,brand,base_price_aed,unit_cost_aed,tax_rate,launch_flag
PRD-0050,Sports,Columbia,239.0,138.23,0.05,Regular
PRD-0051,Grocery,Coca-Cola,119.0,58.89,0.05,Regular
PRD-0052,Beauty,Olay,149.0,77.29,0.05,Regular
PRD-0053,Fashion,Calvin Klein,939.0,639.2,0.05,New
PRD-0054,Beauty,Neutrogena,499.0,210.57,0.05,Regular
PRD-0055,Fashion,Calvin Klein,899.0,596.74,0.05,Regular
PRD-0056,Electronics,Lenovo,3589.0,2094.19,0.05,Regular
PRD-0057,Beauty,Loreal,349.0,197.67,0.05,Regular
PRD-0058,Electronics,Sony,1479.0,986.37,0.05,Regular
PRD-0059,Electronics,Huawei,3109.0,1912.92,0.05,Regular
PRD-0060,Beauty,Dove,279.0,,0.05,Regular
PRD-0061,Electronics,Dell,4189.0,1731.0,0.05,Regular
PRD-0062,Electronics,Huawei,979.0,521.37,0.05,Regular
PRD-0063,Beauty,Maybelline,69.0,45.88,0.05,Regular
PRD-0064,Grocery,Heinz,129.0,57.33,0.05,New
PRD-0065,Fashion,Nike,909.0,420.89,0.05,Regular
PRD-0066,Electronics,Lenovo,4449.0,2321.99,0.05,Regular
PRD-0067,Electronics,LG,4359.0,3020.18,0.05,Regular
PRD-0068,Sports,Nike,189.0,128.02,0.05,Regular
PRD-0069,Grocery,Nestle,69.0,43.9,0.05,New
PRD-0070,Sports,New Balance,219.0,141.25,0.05,Regular
PRD-0071,Fashion,H&M,269.0,160.86,0.05,Regular
PRD-0072,Fashion,Adidas,979.0,473.58,0.05,Regular
PRD-0073,Fashion,Puma,369.0,150.66,0.05,Regular
PRD-0074,Fashion,Reebok,969.0,464.77,0.05,New
PRD-0075,Grocery,Heinz,99.0,68.83,0.05,New
PRD-0076,Sports,Puma,239.0,146.42,0.05,New
PRD-0077,Sports,Asics,569.0,388.1,0.05,Regular
PRD-0078,Electronics,Dell,539.0,323.01,0.05,Regular
PRD-0079,Fashion,Adidas,739.0,362.18,0.05,Regular
PRD-0080,Grocery,Lipton,149.0,84.38,0.05,Regular
PRD-0081,Beauty,Garnier,359.0,240.83,0.05,Regular
PRD-0082,Fashion,Puma,849.0,417.0,0.05,Regular
PRD-0083,Home,Danube,1349.0,727.78,0.05,Regular
PRD-0084,Fashion,Guess  ,809.0,556.55,0.05,Regular
PRD-0085,Beauty,Dove,279.0,164.58,0.05,Regular
PRD-0086,Home,West Elm,1379.0,644.53,0.05,Regular
PRD-0087,Electronics,LG,4929.0,2875.49,0.05,Regular
PRD-0088,Grocery,Coca-Cola,49.0,29.84,0.05,Regular
PRD-0089,Fashion,Nike,909.0,598.24,0.05,Regular
PRD-0090,Home,West Elm,429.0,294.89,0.05,Regular
PRD-0091,Electronics,LG,4609.0,2011.4,0.05,New
PRD-0092,Grocery,Pepsi,199.0,115.15,0.05,Regular
PRD-0093,Sports,Columbia,669.0,446.63,0.05,Regular
PRD-0094,Sports,New Balance,729.0,454.24,0.05,Regular
PRD-0095,Fashion,H&M,859.0,415.06,0.05,Regular
PRD-0096,Grocery,Nestle,69.0,29.2,0.05,Regular
PRD-0097,Fashion,Calvin Klein,909.0,385.57,0.05,Regular
PRD-0098,Fashion,Zara,729.0,305.65,0.05,Regular
PRD-0099,Grocery,Lipton,29.0,18.85,0.05,Regular
PRD-0100,Home,IKEA,1729.0,1088.71,0.05,Regular
PRD-0101,Electronics,Xiaomi,1639.0,847.36,0.05,Regular
PRD-0102,Home,Marina Home,1519.0,856.47,0.05,Regular
PRD-0103,Fashion,H&M,319.0,174.08,0.05,Regular
PRD-0104,Beauty,Garnier,379.0,247.17,0.05,Regular
PRD-0105,Sports,Asics,69.0,35.76,0.05,Regular
PRD-0106,Electronics,Dell,859.0,462.58,0.05,New
PRD-0107,Fashion,H&M,489.0,245.11,0.05,Regular
PRD-0108,Fashion,Tommy Hilfiger,299.0,126.95,0.05,New
PRD-0109,Grocery,Heinz,59.0,24.81,0.05,Regular
PRD-0110,Electronics,Samsung,4769.0,2192.83,0.05,New
PRD-0111,Electronics,Sony,2479.0,1076.67,0.05,Regular
PRD-0112,Grocery,Kelloggs,159.0,71.6,0.05,Regular
PRD-0113,Home,Home Centre,1579.0,709.18,0.05,Regular
PRD-0114,Beauty,Dove,309.0,207.77,0.05,Regular
PRD-0115,Sports,Puma,109.0,66.18,0.05,Regular
PRD-0116,Electronics,Huawei,4289.0,2488.15,0.05,New
PRD-0117,Sports,Nike,309.0,163.31,0.05,Regular
PRD-0118,Grocery,Heinz,19.0,9.99,0.05,Regular
PRD-0119,Grocery,Heinz,139.0,90.16,0.05,Regular
PRD-0120,Grocery,Pepsi,199.0,95.72,0.05,Regular
PRD-0121,Grocery,  Nescafe,109.0,70.6,0.05,Regular
PRD-0122,Fashion,H&M,849.0,361.67,0.05,Regular
PRD-0123,Fashion,Guess,599.0,359.67,0.05,Regular
PRD-0124,Grocery,Heinz,49.0,22.72,0.05,Regular
PRD-0125,Fashion,Reebok,729.0,352.02,0.05,New
PRD-0126,Sports,Adidas,229.0,119.52,0.05,Regular
PRD-0127,Fashion,Guess,669.0,366.11,0.05,Regular
PRD-0128,Electronics,LG,2149.0,1016.46,0.05,Regular
PRD-0129,Fashion,Puma,559.0,294.96,0.05,Regular
PRD-0130,Fashion,Guess,319.0,151.66,0.05,New
PRD-0131,Electronics,Apple,3769.0,2582.76,0.05,Regular
PRD-0132,Electronics,HP,1539.0,887.81,0.05,Regular
PRD-0133,Beauty,Maybelline,429.0,209.73,0.05,Regular
PRD-0134,Fashion,Puma,179.0,74.04,0.05,New
PRD-0135,Fashion,Zara,659.0,412.43,0.05,New
PRD-0136,Electronics,Huawei,2459.0,1308.53,0.05,Regular
PRD-0137,Electronics,HP,759.0,318.48,0.05,Regular
PRD-0138,Beauty,Loreal,109.0,70.12,0.05,Regular
PRD-0139,Electronics,LG,779.0,490.25,0.05,Regular
PRD-0140,Home,West Elm,1579.0,811.79,0.05,Regular
PRD-0141,Fashion,Reebok,999.0,491.12,0.05,Regular
PRD-0142,Beauty,Maybelline,479.0,221.46,0.05,Regular
PRD-0143,Beauty,MAC,149.0,84.27,0.05,Regular
PRD-0144,Grocery,  Coca-Cola  ,109.0,44.67,0.05,Regular
PRD-0145,Fashion,Guess,129.0,60.63,0.05,Regular
PRD-0146,Home,Danube,1359.0,924.26,0.05,Regular
PRD-0147,Grocery,Almarai,189.0,122.47,0.05,New
PRD-0148,Electronics,Huawei,3069.0,1986.48,0.05,Regular
PRD-0149,Grocery,Nescafe,149.0,90.88,0.05,Regular
PRD-0150,Grocery,Nescafe,99.0,57.36,0.05,Regular
PRD-0151,Home,Danube,569.0,243.19,0.05,Regular
PRD-0152,Home,Danube,1219.0,495.19,0.05,Regular
PRD-0153,Home,Danube,169.0,105.94,0.05,Regular
PRD-0154,Beauty,Dove,119.0,68.5,0.05,Regular
PRD-0155,Grocery,Masafi,109.0,56.95,0.05,Regular
PRD-0156,Electronics,Sony,1789.0,1087.89,0.05,Regular
PRD-0157,Sports,  Asics  ,79.0,33.69,0.05,Regular
PRD-0158,Electronics,Dell,4359.0,2822.36,0.05,New
PRD-0159,Sports,  New Balance,359.0,163.8,0.05,Regular
PRD-0160,Home,Pan Emirates,1549.0,714.19,0.05,Regular
PRD-0161,Sports,New Balance,719.0,392.15,0.05,New
PRD-0162,Beauty,Nivea,369.0,182.0,0.05,New
PRD-0163,Grocery,Nestle,199.0,134.1,0.05,Regular
PRD-0164,Electronics,Sony,2599.0,1598.34,0.05,Regular
PRD-0165,Fashion,Guess,989.0,467.91,0.05,Regular
PRD-0166,Fashion,Reebok,539.0,357.79,0.05,Regular
PRD-0167,Fashion,Tommy Hilfiger,379.0,241.16,0.05,Regular
PRD-0168,Electronics,Huawei,4229.0,2427.35,0.05,Regular
PRD-0169,Sports,New Balance,459.0,231.12,0.05,Regular
PRD-0170,Grocery,Nescafe,199.0,131.52,0.05,Regular
PRD-0171,Fashion,Tommy Hilfiger,279.0,176.51,0.05,New
PRD-0172,Home,Homes R Us,829.0,496.66,0.05,Regular
PRD-0173,Sports,New Balance,779.0,,0.05,Regular
PRD-0174,Fashion,Adidas,889.0,473.03,0.05,Regular
PRD-0175,Grocery,Almarai,89.0,53.08,0.05,Regular
PRD-0176,Grocery,Kelloggs,79.0,48.02,0.05,Regular
PRD-0177,Sports,Asics,339.0,167.8,0.05,Regular
PRD-0178,Home,Marina Home,159.0,66.86,0.05,Regular
PRD-0179,Sports,Puma,619.0,328.19,0.05,New
PRD-0180,Beauty,Maybelline,249.0,151.44,0.05,Regular
PRD-0181,Electronics,Samsung,1619.0,829.66,0.05,New
PRD-0182,Grocery,Coca-Cola,149.0,67.65,0.05,Regular
PRD-0183,Beauty,Garnier,329.0,155.37,0.05,Regular
PRD-0184,Electronics,HP,3269.0,1758.3,0.05,Regular
PRD-0185,Sports,New Balance,729.0,439.79,0.05,Regular
PRD-0186,Grocery,Heinz,199.0,97.46,0.05,Regular
PRD-0187,Beauty,Clinique,439.0,201.84,0.05,Regular
PRD-0188,Grocery,Nestle,89.0,45.18,0.05,Regular
PRD-0189,Beauty,Loreal,499.0,298.14,0.05,Regular
PRD-0190,Beauty,Loreal,469.0,292.45,0.05,Regular
PRD-0191,Sports,Puma,509.0,257.4,0.05,Regular
PRD-0192,Beauty,MAC,329.0,220.77,0.05,Regular
PRD-0193,Fashion,Guess,89.0,45.34,0.05,New
PRD-0194,Sports,Decathlon,619.0,280.22,0.05,New
PRD-0195,Grocery,Heinz,119.0,80.21,0.05,Regular
PRD-0196,Fashion,Guess,979.0,478.28,0.05,Regular
PRD-0197,Home,Pan Emirates,1939.0,857.48,0.05,Regular
PRD-0198,Sports,Skechers,779.0,499.63,0.05,Regular
PRD-0199,Home,IKEA,599.0,261.81,0.05,Regular
PRD-0200,Home,Crate & Barrel,1209.0,781.89,0.05,Regular
